id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful
5355219,Theatre,,5/12/2023,,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355220,Multidisciplinary Studies,,5/12/2023,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355221,Wildlife Biology,,5/10/2024,High School,College of Forestry & Conserv,Female,White/Caucasian,23-May,4/1/2023,submitted,Working,Albertsons Companies,Pharmaceuticals,Organization,Full-Time,Other,Certified Pharmacy Technician,Yes,,,,,,37544,Hourly Wage,,,This position significantly fails to meet my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project"
5355222,Accounting Technology,,5/1/2025,,Missoula College,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355223,General AA~Welding Technology,General AA,5/1/2026,,Missoula College,Male,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355224,English,,5/10/2024,Bachelors,College Humanities & Sciences,Female,,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,The University of British Columbia,Masters,Library and Information Studies,,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355225,Communication Studies,,5/8/2020,Associates,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Communication ,,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Study abroad or study away program, First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355226,Legal Studies,,5/13/2016,,Missoula College,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355227,General AA,,5/1/2025,Associates,Missoula College,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Judnich Law Office,Legal & Law Enforcement,Organization,Full-Time,Legal,Paralegal,Yes,,,,,,41600,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355228,Social Work,,5/12/2023,,College of Health,Female,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355229,Anthropology,,5/3/2019,Bachelors,College Humanities & Sciences,Female,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355230,Speech Language Pathology Asst,Speech Language Pathology Asst,5/12/2023,Bachelors,College of Health,Female,White/Caucasian,23-May,4/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Speech ,,,,,,,This position exceeds my expectations,None of the above,,
5355231,Environmental Studies,,5/10/2024,Bachelors,College Humanities & Sciences,Male,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355232,History-Political Science~Secondary Certification,History-Political Science,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Circle Public Schools,K-12 Education,Organization,Full-Time,Education / Teaching / Training,High School History Teacher,,,,,,,33000,Annual Salary,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355233,Art,,12/17/2021,Associates,College of the Arts and Media,Male,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,None of the above,,
5355234,Biology,,5/10/2024,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355235,Ecosystem Science & Restorat~Music,Ecosystem Science & Restorat,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355236,Marketing,,5/12/2023,Associates,College of Business,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355237,Anthropology,,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,8/1/2023,submitted,Continuing Education,,,,,,,,TEFL ,Certificate,Extension - TESL/TEFL - Teaching English as a Second/Foreign Language,,,,,,,No opinion,None of the above,,
5355238,Geography~Geographic Information Systems,Geography,5/10/2024,,College of Forestry & Conserv,Male,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355239,Pharmacy~Pharmaceutical Sciences,Pharmacy,5/1/2026,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355240,Pharmacy,,5/1/2026,Doctorate,College of Health,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,"Pharm406, INC",Pharmaceuticals,Entrepreneur,Full-Time,Consulting,Pharmacist ,,,,,,,114400,Hourly Wage,0,0,No opinion,"Internship, field experience, student teaching or clinical placement, None of the above",,
5355241,Pharmacy,,5/1/2026,Doctorate,College of Health,Female,Asian/Asian American,23-May,5/1/2023,submitted,Working,Albertsons Companies,Pharmaceuticals,Organization,Full-Time,Other,staff pharmacist ,,,,,,,133848,Hourly Wage,30000,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer)",Neutral,"Internship, field experience, student teaching, practicum or clinical placement"
5355242,Sociology,,5/1/2025,Associates,College Humanities & Sciences,Female,White/Caucasian,23-May,4/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Bachelors,Criminology,,,,,,,No opinion,Learning community or other formal program in which one group of students takes two or more classes together,No,Learning community or other formal program in which one group of students takes two or more classes together
5355243,Physics,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355244,Registered Nursing,,5/12/2023,Associates,Missoula College,Female,,23-May,5/1/2023,submitted,Working,Providence- St. Patrick's Hospital ,Healthcare,Organization,Full-Time,Healthcare Services,Nurse ,,,,,,,64480,Hourly Wage,5000,,This position meets my expectations,None of the above,,
5355245,Creative Writing,,5/12/2023,Bachelors,College Humanities & Sciences,Male,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355246,History,,5/10/2024,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355247,Sociology,,5/10/2024,Bachelors,College Humanities & Sciences,Male,,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of New Mexico,Doctorate,Law,,,,,,,No opinion,None of the above,,
5355248,Biology,,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355249,Psychology,,5/12/2023,Bachelors,College Humanities & Sciences,Male,Latino(a),23-May,5/1/2023,submitted,Working,Pagoda Thai and Chinese ,Food & Beverage,Organization,Part-Time,Purchasing,Sous Chef,,,,,,,33280,Hourly Wage,,,This position significantly fails to meet my expectations,Community-based project (service learning or volunteer),No,None of the experiential learning activities I participated in at UM were helpful.
5355250,Enviro Sci and Sustainability,,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355251,Biology,,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355252,History,,5/10/2024,Bachelors,College Humanities & Sciences,Male,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355253,Anthropology,,5/10/2024,,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355254,Management Information Systems~Cybersecurity Management,Management Information Systems,5/10/2024,Bachelors,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Study abroad or study away program, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Study abroad or study away program"
5355255,Mathematics~Secondary Certification,Mathematics,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355256,Political Science,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355257,Psychology,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355258,Accounting,,12/17/2021,Associates,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,FLR INC,Sales & Marketing,Organization,Full-Time,Administration,Budtender,Yes,,,,,,33280,Hourly Wage,0,,No opinion,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355259,Music,,5/10/2024,Bachelors,College of the Arts and Media,Male,,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,Temple University,Masters,Choral Conducting  - MM,,,,,,,This position exceeds my expectations,Study abroad or study away program,Somewhat,Learning community or other formal program in which one group of students takes two or more classes together
5355260,Management & Entrepreneurship,,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,23-May,4/1/2023,submitted,Working,McGowan Commercial Company,Other Industries,Organization,Full-Time,General Management,Shift Leader and Meat Cutter,Yes,,,,,,,Annual Salary,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc), First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",No,"Internship, field experience, student teaching, practicum or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355261,"Parks, Tourism &Rec Management",,5/12/2023,,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355262,Management & Entrepreneurship,,5/12/2023,Bachelors,College of Business,Male,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355263,Biology,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355264,Wildlife Biology~History,Wildlife Biology,5/12/2023,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,U.S. Department of State (not legally an employee),"Government - Local, State & Federal",Fellowship,Part-Time,Education / Teaching / Training,Fulbright English Teaching Assistant in Germany,,,,,,,,Monthly Stipend,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355265,Diesel Technology,,5/12/2023,Bachelors,Missoula College,Male,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355266,Media Arts,,5/10/2024,Bachelors,College of the Arts and Media,Female,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355267,Political Science~Global Leadership,Political Science,12/16/2022,Certificate,College Humanities & Sciences,Male,Latino(a),23-May,5/1/2022,submitted,Continuing Education,,,,,,,,American University,Masters,"M.A., Comparative and Regional Studies,",,,,,,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Study abroad or study away program, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Study abroad or study away program"
5355268,Communication Studies,,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,American Eagle,Retail Stores,Organization,Full-Time,Sales,Sales Lead,,,,,,,,Hourly Wage,,,This position fails to meet my expectations,None of the above,,
5355269,Social Work~Global Leadership,Social Work,5/10/2024,Bachelors,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355270,Management & Entrepreneurship~Entertainment Management,Management & Entrepreneurship,5/10/2024,Bachelors,College of Business,Male,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355271,History,,5/10/2024,Bachelors,College Humanities & Sciences,Male,Latino(a),23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355272,Wildlife Biology,,5/10/2024,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355273,Wildlife Biology,,5/1/2025,Associates,College of Forestry & Conserv,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355274,Geography~Geographic Information Systems,Geography,5/10/2024,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
